,Bifidobacterium.longum,Actinomyces.odontolyticus,Leptotrichia.hofstadii,Leptotrichia.genomosp,Leptotrichia.sp.,Leptotrichia.hongkongensis,Fusobacterium.periodonticum,Alistipes.shahii,Prevotella.sp.,Muribaculum.intestinale,Prevotella.conceptionensis,Alistipes.onderdonkii,Alistipes.obesi,Butyricimonas.paravirosa,Prevotellamassilia.timonensis,Bacteroides.eggerthii,Alistipes.sp.,Barnesiella.intestinihominis,Lactobacillus.mucosae,Okadaella.gastrococcus,Howardella.ureilytica,Lactobacillus.salivarius,Parasporobacterium.paucivorans,Acetanaerobacterium.sp.,Dialister.sp.,Coprococcus.sp.,Solobacterium.moorei,Intestinimonas.massiliensis,Selenomonas.sp.,Anaerofilum.sp.,Peptostreptococcaceae.bacterium,Paludicola.psychrotolerans,Lachnoanaerobaculum.saburreum,Anaerotruncus.colihominis,Oscillibacter.sp.,Peptostreptococcus.stomatis,Gemella.haemolysans,Ruminococcaceae.bacterium,Clostridiales.bacterium,Pseudoflavonifractor.capillosus,Ruminococcus.callidus,Streptococcus.anginosus,Anaerostipes.hadrus,Kineothrix.alysoides,Campylobacter.concisus,Desulfovibrio.sp,Campylobacter.showae,Eikenella.corrodens,Succinivibrio.dextrinosolvens
WBC,0.2,0.04,0.37,0.63,0.51,0.42,0.05,0.57,0.8,0.44,0.49,0.84,0.78,0.95,0.68,0.18,0.89,0.39,0.07,0.09,0,0.03,0.01,0.22,0.14,0.71,0.03,0.22,0.38,0.06,0.03,0.24,0.02,0.86,0.59,0.65,0.07,0.51,0.02,0.55,0.28,0.58,0.46,0.36,0.53,0.91,0.5,0.26,0.59
RBC,0.13,0,0.01,0.2,0.03,0.01,0,0.17,0.65,0.09,0.25,0.41,0.54,0.23,0.93,0.28,0.69,0.17,0.16,0.06,0.03,0.01,0.02,0.9,0.13,0.65,0,0.96,0,0.84,0.13,0.53,0,0.17,0.16,0.44,0.01,0.16,0.5,0.83,0.14,0.17,0.63,0.03,0.02,0.08,0.01,0,0.83
Hb,0.23,0,0.01,0.39,0.02,0,0,0.13,0.47,0.09,0.26,0.29,0.57,0.23,0.74,0.3,0.6,0.13,0.15,0.04,0,0.01,0.15,0.72,0.22,0.75,0,0.58,0,0.89,0.28,0.95,0,0.07,0.14,0.45,0,0.26,0.66,0.97,0.13,0.31,0.81,0.05,0.01,0.08,0,0,0.94
PLT,0.7,0.01,0.07,0.22,0.07,0.03,0,0.05,0.39,0.47,0.45,0.13,0,0.06,0.63,0.08,0.03,0.32,0.56,0.04,0,0.68,0,0.03,0.01,0.07,0.02,0.07,0,0.19,0.04,0.1,0,0.46,0.21,0.1,0,0,0.09,0.42,0,0.22,0.05,0.13,0.14,0.28,0.12,0.01,0.9
TP,0.97,0.13,0.12,0.87,0.13,0.01,0.37,0.61,0.2,0.03,0.02,0.84,0.49,0,0.54,0.39,0.84,0.21,0.84,0.25,0.14,0.9,0.01,0.85,0.75,0.46,0.1,0.09,0.01,0.59,0.99,0.77,0.03,0.03,0.13,0.74,0.13,0.85,0.63,0.22,0.61,0.42,0.45,0.73,0.01,0.08,0.01,0.06,0.15
ALB,0.05,0.04,0.03,0.14,0.04,0.01,0.05,0.06,0.05,0,0.01,0.16,0.3,0,0.49,0.17,0.72,0.06,0.65,0.06,0.02,0.4,0,0.69,0.05,0.83,0.02,0.53,0,0.96,0.18,0.63,0,0.39,0.74,0.1,0.03,0.55,0.82,0.67,0.18,0.07,0.59,0.2,0.06,0,0.05,0.01,0.36
GLO,0.01,0.44,0.34,0.08,0.46,0.93,0.16,0.07,0.37,0.18,0.68,0.11,0.62,0.03,0.91,0.48,0.46,0.38,0.4,0.32,0.25,0.2,0.21,0.78,0.03,0.5,0.34,0.16,0.53,0.44,0.08,0.8,0.31,0.11,0.12,0.07,0.38,0.3,0.35,0.3,0.26,0.19,0.8,0.22,0.34,0.08,0.45,0.35,0.5
ALB/GLO,0.02,0.09,0.08,0.09,0.09,0.12,0.05,0.03,0.03,0,0.1,0.09,0.38,0.35,0.75,0.31,0.78,0.13,0.39,0.08,0.08,0.21,0.01,0.78,0.01,0.74,0.08,0.75,0.03,0.7,0.12,0.75,0.02,0.69,0.86,0.04,0.06,0.47,0.69,0.67,0.26,0.1,0.97,0.22,0.49,0,0.39,0.06,0.94
AST/ALT,0.49,0.13,0,0.8,0,0,0,0.11,0.43,0.78,0.67,0.17,0.25,0.23,0.89,0.35,0.42,0.29,0.86,0.09,0.04,0.14,0.38,0.94,0.66,0.49,0.42,0.06,0,0.38,0.14,0.77,0.07,0.46,0.62,0.97,0,0.4,0.45,0.93,0.06,0.91,0.82,0.26,0,0.9,0,0.12,0.95
HDL_C,0.33,0.01,0.54,0.8,0.42,0.36,0.05,0.04,0.04,0.21,0.14,0.03,0.52,0.2,0.29,0.61,0.11,0.14,0.08,0.01,0.05,0.28,0.89,0.55,0.71,0.59,0.25,0.24,0.17,0.89,0.73,0.56,0.12,0.83,0.2,0.1,0.06,0.91,0.84,0.35,0.36,0.04,1,0.35,0.49,0.08,0.49,0.36,0.21
